City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hasaki,JP,2022-04-17 09:53:18,35.7333,140.8333,57.29,66,100,9.06
1,Longyearbyen,SJ,2022-04-17 09:53:18,78.2186,15.6401,21.04,68,75,6.91
2,Muisne,EC,2022-04-17 09:53:19,0.6,-80.0333,75.09,89,100,10.89
3,Esperance,AU,2022-04-17 09:53:19,-33.8667,121.9,60.64,65,95,12.75
4,Busselton,AU,2022-04-17 09:53:19,-33.65,115.3333,59.92,59,1,12.35
5,Ilulissat,GL,2022-04-17 09:53:20,69.2167,-51.1,-6.63,88,4,2.82
6,Rikitea,PF,2022-04-17 09:53:20,-23.1203,-134.9692,78.06,68,7,12.57
7,Zanjan,IR,2022-04-17 09:53:21,36.6736,48.4787,53.29,37,40,13.8
8,Port-Cartier,CA,2022-04-17 09:53:21,50.0334,-66.8654,28.51,88,65,5.95
9,Ushuaia,AR,2022-04-17 09:53:21,-54.8,-68.3,47.86,61,75,21.85
10,Mataura,NZ,2022-04-17 09:53:22,-46.1927,168.8643,45.48,96,74,2.68
11,Gondar,ET,2022-04-17 09:53:22,12.6,37.4667,73.36,36,92,4.97
12,Moyale,KE,2022-04-17 09:53:23,3.5167,39.0584,79.81,53,89,11.41
13,Saint George,US,2022-04-17 09:53:23,37.1041,-113.5841,56.79,40,0,9.22
14,Albany,US,2022-04-17 09:53:23,42.6001,-73.9662,34.18,71,27,1.01
15,East London,ZA,2022-04-17 09:53:24,-33.0153,27.9116,72.54,64,0,10.36
16,Sechura,PE,2022-04-17 09:53:24,-5.5569,-80.8222,66.72,81,12,11.7
17,Pringsewu,ID,2022-04-17 09:53:25,-5.3582,104.9744,82.81,81,73,3.18
18,Maarianhamina,AX,2022-04-17 09:53:25,60.0973,19.9348,42.66,65,0,10.36
19,Castro,BR,2022-04-17 09:53:26,-24.7911,-50.0119,51.69,92,77,7.76
20,Nishihara,JP,2022-04-17 09:53:26,26.1842,127.7558,69.85,58,40,11.5
21,Nikolskoye,RU,2022-04-17 09:53:26,59.7035,30.7861,46.87,48,76,4.09
22,Lusambo,CD,2022-04-17 09:53:27,-4.9667,23.45,92.21,43,78,3.15
23,Bluff,NZ,2022-04-17 09:53:27,-46.6,168.3333,45.81,73,55,5.28
24,Atuona,PF,2022-04-17 09:53:28,-9.8,-139.0333,79.21,76,58,16.96
25,Dingle,PH,2022-04-17 09:53:28,10.9995,122.6711,79.86,81,53,7.76
26,Veraval,IN,2022-04-17 09:53:29,20.9,70.3667,87.75,51,0,12.06
27,Puerto Ayora,EC,2022-04-17 09:53:29,-0.7393,-90.3518,74.34,93,71,6.2
28,Constitucion,CL,2022-04-17 09:50:56,-35.3333,-72.4167,52.79,72,0,2.42
29,Dikson,RU,2022-04-17 09:53:29,73.5069,80.5464,11.32,88,100,16.37
30,Nanortalik,GL,2022-04-17 09:53:30,60.1432,-45.2371,29.61,86,100,6.15
31,Ruwi,OM,2022-04-17 09:53:30,23.5996,58.5507,94.66,37,9,12.41
32,Oktyabrskiy,RU,2022-04-17 09:53:31,54.4815,53.471,47.86,61,88,11.61
33,Qaanaaq,GL,2022-04-17 09:53:31,77.484,-69.3632,-19.32,67,0,8.01
34,Capoterra,IT,2022-04-17 09:53:31,39.1763,8.9718,69.55,45,0,8.05
35,Kodiak,US,2022-04-17 09:53:32,57.79,-152.4072,37.02,72,71,7.9
36,Pevek,RU,2022-04-17 09:53:32,69.7008,170.3133,-4.99,100,77,3.24
37,Tuktoyaktuk,CA,2022-04-17 09:53:33,69.4541,-133.0374,-3.05,95,82,8.03
38,Soderhamn,SE,2022-04-17 09:53:33,61.3037,17.0592,56.95,53,12,0.4
39,Chitrakonda,IN,2022-04-17 09:53:34,18.1167,82.0833,82.44,58,89,9.22
40,Manado,ID,2022-04-17 09:53:34,1.487,124.8455,86.77,66,20,5.75
